Date,Time,Open,High,Low,Close,Volume
2008.03.30,0:00,1.5812,1.5895,1.551,1.5733,114257
2008.03.31,0:00,1.5812,1.5895,1.5759,1.5786,22207
2008.04.01,0:00,1.5785,1.5786,1.5563,1.5613,23975
2008.04.02,0:00,1.5613,1.5701,1.5532,1.5684,23025
2008.04.03,0:00,1.5685,1.5696,1.551,1.5682,22181
2008.04.04,0:00,1.5679,1.5774,1.5637,1.5733,22869
2008.04.06,0:00,1.5735,1.5912,1.5627,1.5824,108129
2008.04.07,0:00,1.5735,1.5735,1.5627,1.5709,18340
2008.04.08,0:00,1.5708,1.5798,1.5673,1.5711,21642
2008.04.09,0:00,1.5709,1.5865,1.5684,1.5829,20142
2008.04.10,0:00,1.5828,1.5912,1.5725,1.574,25893
2008.04.11,0:00,1.5741,1.5855,1.5738,1.5824,22112
2008.04.13,0:00,1.5693,1.5983,1.567,1.5806,116085
2008.04.14,0:00,1.5694,1.5886,1.567,1.583,23742
2008.04.15,0:00,1.5829,1.5875,1.5751,1.5787,21033
2008.04.16,0:00,1.5789,1.5979,1.5759,1.5946,22864
2008.04.17,0:00,1.5945,1.5983,1.5846,1.5905,25586
2008.04.18,0:00,1.5906,1.5956,1.571,1.5806,22860
2008.04.20,0:00,1.5808,1.6018,1.5555,1.5606,120626
2008.04.21,0:00,1.5808,1.5947,1.5791,1.5911,20215
2008.04.22,0:00,1.591,1.6018,1.5834,1.5989,25628
2008.04.23,0:00,1.599,1.6002,1.586,1.5888,22417
2008.04.24,0:00,1.589,1.5895,1.5637,1.5685,26185
2008.04.25,0:00,1.568,1.5705,1.5555,1.5606,26181
2008.04.27,0:00,1.5606,1.5693,1.5359,1.5431,111264
2008.04.28,0:00,1.5606,1.5693,1.5592,1.5655,21088
2008.04.29,0:00,1.5656,1.5663,1.5539,1.557,21809
2008.04.30,0:00,1.557,1.5643,1.5517,1.5621,24860
2008.05.01,0:00,1.5621,1.5643,1.543,1.5473,20034
2008.05.02,0:00,1.5474,1.5497,1.5359,1.5431,23473
2008.05.04,0:00,1.5432,1.5594,1.5283,1.548,101342
2008.05.05,0:00,1.5432,1.5519,1.5422,1.5496,14700
2008.05.06,0:00,1.5496,1.5594,1.5452,1.5531,17891
2008.05.07,0:00,1.553,1.5539,1.5366,1.539,21333
2008.05.08,0:00,1.539,1.5441,1.5283,1.5392,26587
2008.05.09,0:00,1.5392,1.5489,1.5391,1.548,20831
2008.05.11,0:00,1.545,1.5601,1.5366,1.5592,115272
2008.05.12,0:00,1.545,1.557,1.5366,1.5552,21011
2008.05.13,0:00,1.5551,1.5565,1.543,1.5473,25694
2008.05.14,0:00,1.5472,1.5486,1.5396,1.5472,21968
2008.05.15,0:00,1.5472,1.5546,1.5419,1.5447,23880
2008.05.16,0:00,1.5447,1.5601,1.5435,1.5592,22719
2008.05.18,0:00,1.5593,1.5813,1.5485,1.5766,99497
2008.05.19,0:00,1.5593,1.5632,1.5485,1.5511,17315
2008.05.20,0:00,1.5509,1.5679,1.5503,1.5645,22892
2008.05.21,0:00,1.5645,1.5796,1.563,1.5794,21569
2008.05.22,0:00,1.5793,1.5813,1.5692,1.5731,21664
2008.05.23,0:00,1.573,1.5794,1.5696,1.5766,16057
2008.05.25,0:00,1.5766,1.5818,1.5461,1.5554,91317
2008.05.26,0:00,1.5766,1.5792,1.5741,1.5768,8718
2008.05.27,0:00,1.5767,1.5818,1.5682,1.5691,18893
2008.05.28,0:00,1.5691,1.576,1.5608,1.5635,20847
2008.05.29,0:00,1.5638,1.5664,1.5485,1.5517,22637
2008.05.30,0:00,1.5516,1.5569,1.5461,1.5554,20222
2008.06.01,0:00,1.5567,1.5776,1.5365,1.5775,112469
2008.06.02,0:00,1.5567,1.5589,1.5486,1.5535,19211
2008.06.03,0:00,1.5536,1.5628,1.541,1.5443,23609
2008.06.04,0:00,1.5444,1.5483,1.5419,1.544,22803
2008.06.05,0:00,1.544,1.56,1.5365,1.5592,23376
2008.06.06,0:00,1.5591,1.5776,1.5572,1.5775,23470
2008.06.08,0:00,1.5786,1.5843,1.5303,1.5377,123437
2008.06.09,0:00,1.5786,1.5843,1.5619,1.5645,24622
2008.06.10,0:00,1.5645,1.5654,1.5441,1.5466,27756
2008.06.11,0:00,1.5465,1.5586,1.5449,1.5548,22069
2008.06.12,0:00,1.5549,1.5566,1.5379,1.5438,24090
2008.06.13,0:00,1.5438,1.5483,1.5303,1.5377,24900
2008.06.15,0:00,1.5403,1.5651,1.5346,1.5603,98574
2008.06.16,0:00,1.5403,1.5518,1.5346,1.5475,19753
2008.06.17,0:00,1.5474,1.5551,1.546,1.551,21595
2008.06.18,0:00,1.5509,1.5538,1.5463,1.5534,16382
2008.06.19,0:00,1.5534,1.5586,1.5466,1.5504,21530
2008.06.20,0:00,1.5504,1.5651,1.5492,1.5603,19314
2008.06.22,0:00,1.5624,1.579,1.5468,1.5789,96631
2008.06.23,0:00,1.5624,1.5636,1.5468,1.5516,19641
2008.06.24,0:00,1.5515,1.5621,1.5491,1.5567,18258
2008.06.25,0:00,1.5567,1.5686,1.5536,1.5665,17963
2008.06.26,0:00,1.5664,1.5766,1.5628,1.5755,21270
2008.06.27,0:00,1.5754,1.579,1.5719,1.5789,19499
2008.06.29,0:00,1.5776,1.5909,1.5655,1.5708,90897
2008.06.30,0:00,1.5776,1.5836,1.5731,1.5753,16703
2008.07.01,0:00,1.5753,1.5826,1.5723,1.5791,18530
2008.07.02,0:00,1.579,1.5888,1.5777,1.5881,21141
2008.07.03,0:00,1.5881,1.5909,1.5681,1.5702,22072
2008.07.04,0:00,1.5703,1.5727,1.5655,1.5708,12451
2008.07.06,0:00,1.5696,1.5947,1.5611,1.593,91793
2008.07.07,0:00,1.5696,1.5753,1.5611,1.5728,17527
2008.07.08,0:00,1.5727,1.5739,1.5635,1.567,17541
2008.07.09,0:00,1.5671,1.5749,1.5649,1.5742,18367
2008.07.10,0:00,1.5742,1.5801,1.5691,1.5787,18044
2008.07.11,0:00,1.5788,1.5947,1.5765,1.593,20314
2008.07.13,0:00,1.5959,1.6038,1.5783,1.5847,100413
2008.07.14,0:00,1.5959,1.5969,1.5841,1.5906,18112
2008.07.15,0:00,1.5907,1.6038,1.5865,1.5911,27383
2008.07.16,0:00,1.5911,1.5948,1.58,1.5826,20193
2008.07.17,0:00,1.5826,1.5893,1.5783,1.5859,20738
2008.07.18,0:00,1.5861,1.5887,1.5807,1.5847,13987
2008.07.20,0:00,1.5843,1.5944,1.5628,1.5701,73342
2008.07.21,0:00,1.5843,1.5929,1.5828,1.5921,11881
2008.07.22,0:00,1.592,1.5944,1.5757,1.5785,15975
2008.07.23,0:00,1.5778,1.5798,1.567,1.5697,16368
2008.07.24,0:00,1.5697,1.5713,1.5628,1.5678,15082
2008.07.25,0:00,1.5678,1.5753,1.5662,1.5701,14036
2008.07.27,0:00,1.5704,1.5768,1.5513,1.5556,65236
2008.07.28,0:00,1.5704,1.5768,1.5684,1.574,8982
2008.07.29,0:00,1.5737,1.5757,1.5553,1.5587,11845
2008.07.30,0:00,1.5588,1.5616,1.5522,1.5574,15135
2008.07.31,0:00,1.5575,1.57,1.5569,1.5601,14859
2008.08.01,0:00,1.56,1.5603,1.5513,1.5556,14415
2008.08.03,0:00,1.5565,1.5631,1.4997,1.5016,83417
2008.08.04,0:00,1.5565,1.5631,1.5554,1.5576,11273
2008.08.05,0:00,1.5576,1.5577,1.5444,1.5452,16045
2008.08.06,0:00,1.5453,1.5516,1.5398,1.5406,13100
2008.08.07,0:00,1.5405,1.5502,1.531,1.5324,17379
2008.08.08,0:00,1.5325,1.5334,1.4997,1.5016,25620
2008.08.10,0:00,1.4925,1.509,1.4659,1.4687,110166
2008.08.11,0:00,1.4925,1.509,1.488,1.491,22584
2008.08.12,0:00,1.491,1.4964,1.4815,1.4925,21626
2008.08.13,0:00,1.4925,1.4979,1.4842,1.4918,22383
2008.08.14,0:00,1.4918,1.495,1.4777,1.4825,22140
2008.08.15,0:00,1.4824,1.4825,1.4659,1.4687,21433
2008.08.17,0:00,1.4676,1.4907,1.463,1.4786,91599
2008.08.18,0:00,1.4676,1.4767,1.467,1.4693,17203
2008.08.19,0:00,1.4693,1.4793,1.463,1.4773,19713
2008.08.20,0:00,1.4772,1.4806,1.4672,1.4746,18112
2008.08.21,0:00,1.4745,1.4903,1.4731,1.4898,19668
2008.08.22,0:00,1.49,1.4907,1.4758,1.4786,16903
2008.08.24,0:00,1.4786,1.4811,1.457,1.4673,100836
2008.08.25,0:00,1.4786,1.4808,1.4696,1.4753,19365
2008.08.26,0:00,1.4753,1.476,1.457,1.4651,20956
2008.08.27,0:00,1.4651,1.4776,1.4625,1.4724,21929
2008.08.28,0:00,1.4724,1.4811,1.4671,1.4705,20244
2008.08.29,0:00,1.4706,1.4767,1.464,1.4673,18342
2008.08.31,0:00,1.4696,1.4721,1.4196,1.4265,115430
2008.09.01,0:00,1.4696,1.4721,1.4582,1.4615,16774
2008.09.02,0:00,1.4608,1.4615,1.4466,1.4517,21659
2008.09.03,0:00,1.4517,1.453,1.4385,1.4495,20928
2008.09.04,0:00,1.4494,1.4544,1.4315,1.4325,22016
2008.09.05,0:00,1.4325,1.4347,1.4196,1.4265,34053
2008.09.07,0:00,1.4343,1.4428,1.4046,1.4127,65816
2008.09.08,0:00,1.4343,1.4428,1.4054,1.4125,31408
2008.09.09,0:00,1.4124,1.4226,1.4046,1.4132,29428
2008.09.10,0:00,1.4131,1.4178,1.3989,1.3996,28793
2008.09.11,0:00,1.3999,1.3999,1.3882,1.3997,27753
2008.09.12,0:00,1.3998,1.4232,1.3972,1.4208,29121
2008.09.15,0:00,1.4328,1.448,1.4084,1.4242,66505
2008.09.16,0:00,1.4267,1.4302,1.4072,1.4126,61991
2008.09.17,0:00,1.4127,1.4383,1.4075,1.4324,60635
2008.09.18,0:00,1.4309,1.4541,1.4278,1.4347,62676
